Organisation,Type,Focus,Area of Operation,TtoR,Variety,Regularity,EQ,RJ,CU,CJ,SO,SJ,CE,SC
Black Inclusion Week,Project,Justice,International,1,A,A1,False,True,False,True,False,False,False,False
myGwork,,Education,International,1,A,A4,True,False,False,False,False,True,False,False
Organising to Win,Community,Justice,International,1,A,A4,False,True,False,False,False,False,False,False
RSA,Charity,Education,International,1,B,A4,True,True,True,True,True,True,True,True
Black Equity Organisation,Charity,Justice,National,1,A,A5,False,True,False,False,False,False,False,False
Black History Month,Project,Education,National,1,A,A1,False,True,True,True,False,False,False,False
Equality Leaders,Commercial Co,Education,National,1,A,A4,True,True,False,False,False,False,False,False
Great Big Green Week,Charity,Ecology,National,1,A,A1,False,False,False,False,False,True,False,False
Race Equality Matters,Social Enterprise,Justice,National,1,A,A1,False,True,False,False,False,False,False,False
Windrush 100 Network,Charity,Education,National,1,A,A1,False,True,False,True,False,False,False,False
Hare Krishna Group,Community,Faith based,Local,2,B,A3,False,False,False,False,True,False,False,False
Reset,Social Enterprise,Education,Local,2,A,A4,True,False,False,False,False,True,False,False
U3A Eco Group,Charity,Ecology,Local,2,A,A2,False,False,False,False,False,True,False,False
Weston Friends of Palestine,Community,Justice,Local,2,B,A5,True,True,False,False,False,False,False,False
Garden Organic,Charity,Ecology,National,2,A,A6,False,False,False,False,False,True,True,False
Islamophobia Awareness Month,Social Enterprise,Education,National,2,A,A1,False,True,False,True,False,True,False,False
Pan African Workers Association,,Justice,National,2,A,A4,False,True,False,True,False,True,False,False
The IRU,Charity,Justice,National,2,A,A4,False,True,False,True,False,True,False,False
UWE,Company,Academic,National,2,A,A6,False,False,False,False,False,True,False,False
With You,Social Enterprise,Health,National,2,A,A3,False,False,False,False,False,True,False,False
JHF,Charity,Education,North somerset,2,B,A4,True,False,False,False,False,False,False,False
The Hive,Company,Employment,North somerset,2,A,A6,False,False,False,False,False,True,False,False
Bristol Refugee Festival,Social Enterprise,Community,Regional,2,A,A1,True,False,True,False,False,False,False,False
Caafi,Social Enterprise,Health,Regional,2,A,A6,True,False,False,False,False,True,True,False
Community Rail Partnership,Project,Creative arts,Regional,2,A,A6,False,False,False,False,True,False,False,False
Curo,Charity,Community,Regional,2,B,A3,False,False,False,False,True,False,False,False
UHBW (Weston Hospital),NHS,Statutory,Regional,2,A,A4,True,True,False,False,False,True,False,False
Weston College,,Academic,Regional,2,B,A4,True,True,True,False,False,True,False,False
Actionworks,Social Enterprise,Creative arts,International,3,B,A4,True,False,True,False,False,False,False,False
Afghan Mens Group,Community,Community,Local,3,A,A3,False,False,False,False,True,False,False,False
FAHLC,,Health,Local,3,B,A4,True,False,True,False,False,True,True,False
Hindu Cultural Community,Community,Faith based,Local,3,B,A4,False,False,False,False,True,False,False,False
Renew,Social Enterprise,Employment,Local,3,B,A3,False,False,False,False,False,True,False,False
Ella Baker,Project,Justice,National,3,B,A4,True,False,False,False,False,True,False,False
MEND,,Justice,National,3,A,A4,False,True,False,True,False,True,False,False
MIND,Charity,Health,National,3,B,A3,False,False,False,False,False,True,False,False
North Somerset Council,Statutory,Statutory,North somerset,3,B,A4,True,True,True,False,False,True,True,False
RWNS,Charity,Community,North somerset,3,B,A4,True,True,False,False,True,False,False,False
Super Culture,Social Enterprise,Creative arts,North somerset,3,B,A4,False,False,True,False,False,False,False,False
Voluntary Action North Somerset,Charity,Community,North somerset,3,B,A4,True,False,False,False,True,True,True,False
,Social Enterprise,Creative arts,Regional,3,B,A4,True,False,True,True,False,False,False,False
Diverse Artists Network,NHS,Health,Regional,3,B,A5,True,False,False,False,False,True,True,False
